mock1	mock2	mock3	hrcc1	hrcc2	hrcc3
AT1G78580	21	39	49	35	11	46
AT1G78590	12	9	27	14	11	16
AT1G78600	39	57	122	70	33	64
AT1G78610	23	35	59	53	24	62
AT1G78620	96	102	148	94	55	168
AT1G78630	233	288	497	206	104	271
AT1G78640	0	0	0	2	2	0
AT1G78650	14	9	14	10	11	28
AT1G78660	28	62	77	89	25	104
AT1G78670	87	103	215	105	56	118
AT1G78680	233	264	491	237	130	311
AT1G78690	7	8	17	9	4	8
AT1G78700	57	57	95	74	46	122
AT1G78710	0	10	0	3	0	0
AT1G78720	0	0	0	0	0	1
AT1G78730	5	5	4	0	0	3
AT1G78740	0	0	0	0	1	0
AT1G78750	0	2	5	0	0	1
AT1G78770	5	8	7	5	1	9
AT1G78780	4	2	4	5	5	9
AT1G78790	11	12	15	11	6	21
AT1G78800	46	34	81	51	40	79
AT1G78810	8	9	16	13	8	18
AT1G78815	4	2	0	0	1	0
AT1G78820	48	40	48	11	10	36
AT1G78830	501	359	630	674	595	1552
AT1G78850	350	295	435	729	546	1649
AT1G78860	10	12	5	13	4	44
AT1G78870	201	144	341	275	223	448
AT1G78890	156	146	209	141	94	292
AT1G78895	49	44	53	58	41	142
AT1G78900	603	550	1141	849	563	1233
AT1G78910	5	0	5	4	7	11
AT1G78915	36	29	58	20	16	35
AT1G78920	134	115	207	194	138	349
AT1G78930	1	2	7	0	3	3
AT1G78940	1	0	4	1	1	3
AT1G78955	0	0	1	0	0	1
AT1G78960	11	13	19	10	5	16
AT1G78970	7	6	23	8	6	0
AT1G78980	0	2	1	0	8	0
AT1G78990	7	8	6	1	0	6
AT1G78995	63	72	123	38	20	53
AT1G79000	103	97	144	124	82	243
AT1G79010	138	164	291	213	112	283
AT1G79020	14	19	32	25	12	31
AT1G79030	16	4	16	5	11	18
AT1G79040	5798	7192	10436	4407	2155	6834
AT1G79050	41	45	67	40	23	68
AT1G79060	0	3	6	5	3	4
AT1G79070	4	8	11	11	4	12
AT1G79075	28	52	47	40	10	63
AT1G79080	48	39	72	23	18	43
AT1G79090	78	75	154	119	76	167
AT1G79110	146	243	472	220	92	203
AT1G79120	0	3	1	0	0	2
AT1G79130	0	5	0	0	1	1
AT1G79150	39	37	46	27	18	64
AT1G79160	35	59	79	60	21	77
AT1G79170	1	1	4	3	0	2
AT1G79180	3	4	0	3	1	7
AT1G79190	27	8	33	15	24	38
AT1G79200	15	12	26	14	10	20
AT1G79210	76	72	128	91	60	150
AT1G79220	0	0	0	1	7	0
AT1G79230	134	113	233	119	85	188
AT1G79245	190	190	356	383	235	564
AT1G79250	0	1	1	4	3	4
AT1G79260	7	7	17	8	6	7
AT1G79270	88	85	151	111	71	179
AT1G79280	77	93	180	142	75	170
AT1G79310	0	5	2	0	1	3
AT1G79330	0	0	1	0	2	1
AT1G79340	212	274	330	312	141	547
AT1G79350	49	25	78	49	50	84
AT1G79360	0	8	1	0	3	2
AT1G79370	0	2	0	0	1	0
AT1G79380	134	148	220	149	83	251
AT1G79390	30	24	28	16	14	47
AT1G79400	0	0	2	0	2	1
AT1G79410	24	17	22	4	6	18
AT1G79420	1	5	3	0	0	6
AT1G79430	22	19	34	42	30	73
AT1G79440	126	129	252	123	74	168
AT1G79450	14	17	22	33	17	56
AT1G79460	18	15	37	4	4	3
AT1G79470	17	18	31	26	15	38
AT1G79480	0	4	0	8	2	11
AT1G79490	7	5	15	9	9	12
AT1G79500	30	21	26	4	6	20
AT1G79510	41	45	54	28	15	56
AT1G79520	32	37	53	26	14	44
AT1G79529	0	0	2	0	0	0
AT1G79530	3	3	8	13	8	15
AT1G79540	4	9	11	8	1	9
AT1G79550	216	193	361	322	220	535
AT1G79560	27	30	103	51	29	32
AT1G79570	75	85	105	163	86	314
AT1G79580	9	0	0	0	0	5
AT1G79590	26	24	44	28	18	44
AT1G79600	360	259	574	244	202	429
AT1G79610	33	35	58	46	27	70
AT1G79620	3	12	20	21	6	16
AT1G79630	9	10	11	7	3	14
AT1G79640	17	15	27	11	8	20
AT1G79650	69	58	111	72	52	123
AT1G79660	14	19	17	15	6	31
AT1G79670	22	23	35	48	28	82
AT1G79680	0	9	9	27	6	29
AT1G79690	40	50	81	69	35	93
AT1G79700	28	14	28	4	7	16
AT1G79710	10	10	5	5	3	20
AT1G79720	29	12	50	16	20	26
AT1G79730	106	99	181	154	100	249
AT1G79740	38	35	56	27	18	50
AT1G79750	231	186	326	225	173	449
AT1G79760	3	3	8	6	4	4
AT1G79770	30	44	42	45	16	84
AT1G79780	2	4	1	2	1	1
AT1G79790	49	61	65	39	17	78
AT1G79800	0	6	0	0	2	1
AT1G79810	30	34	74	65	36	73
AT1G79820	7	8	8	3	0	6
AT1G79830	226	285	315	251	114	484
AT1G79840	8	5	9	5	5	11
AT1G79850	734	685	1868	677	433	701
AT1G79860	0	18	0	0	13	0
AT1G79870	121	109	171	91	63	179
AT1G79880	17	17	31	13	9	19
AT1G79890	0	5	0	0	0	1
AT1G79900	5	1	11	8	10	9
AT1G79910	14	16	24	13	8	21
AT1G79915	0	0	2	0	0	0
AT1G79920	174	197	327	336	183	499
AT1G79930	86	116	171	186	84	263
AT1G79940	423	475	503	377	198	842
AT1G79950	10	6	25	25	20	26
AT1G79960	0	0	8	0	3	6
AT1G79970	76	81	132	61	35	96
AT1G79990	264	282	318	270	152	601
AT1G80000	58	75	110	95	45	139
AT1G80010	36	35	68	60	38	87
AT1G80020	59	64	117	102	58	143
AT1G80030	64	59	107	54	37	90
AT1G80040	182	171	384	346	223	445
AT1G80050	7	3	4	2	4	8
AT1G80060	0	3	3	4	0	3
AT1G80070	138	136	264	228	142	329
AT1G80080	1	5	9	5	0	2
AT1G80090	0	0	0	0	0	1
AT1G80110	37	33	46	44	31	96
AT1G80120	32	42	100	144	74	132
AT1G80130	52	67	112	84	41	111
AT1G80140	0	0	0	0	0	1
AT1G80150	3	3	6	8	6	12
AT1G80160	20	13	27	48	41	92
AT1G80170	0	1	14	0	1	5
AT1G80180	249	260	283	180	104	423
AT1G80190	5	3	5	6	7	13
AT1G80200	0	0	2	1	0	3
AT1G80210	18	23	49	43	22	45
AT1G80230	46	53	94	82	46	113
AT1G80245	7	8	10	5	3	9
AT1G80260	33	13	52	16	21	28
AT1G80270	15	20	19	18	7	37
AT1G80280	3	0	5	6	6	7
AT1G80290	26	41	54	45	17	62
AT1G80300	107	95	179	269	185	445
AT1G80310	98	77	158	124	95	212
AT1G80320	0	0	0	0	0	1
AT1G80325	7	6	3	1	0	7
AT1G80340	0	3	2	1	0	2
AT1G80350	39	43	40	25	13	62
AT1G80360	195	219	265	276	147	548
AT1G80370	0	2	6	7	4	0
AT1G80380	227	246	365	194	110	334
AT1G80390	0	0	0	2	0	0
AT1G80400	23	21	40	24	16	38
AT1G80410	83	85	168	144	87	195
AT1G80420	41	40	54	30	19	63
AT1G80440	225	111	233	179	241	567
AT1G80450	80	54	88	197	188	518
AT1G80460	251	214	344	497	362	1013
AT1G80480	389	417	763	311	179	439
AT1G80490	84	88	97	98	56	225
AT1G80500	53	30	75	54	56	110
AT1G80510	27	19	48	47	38	72
AT1G80520	3	7	5	8	2	13
AT1G80530	29	40	47	44	18	73
AT1G80540	0	0	0	0	3	2
AT1G80550	26	18	35	11	11	23
AT1G80555	0	0	0	0	0	2
AT1G80560	46	42	80	66	45	105
AT1G80570	5	0	5	0	0	4
AT1G80580	0	0	1	5	3	5
AT1G80590	3	0	1	1	3	5
AT1G80600	109	150	190	136	58	218
AT1G80610	23	23	47	66	40	87
AT1G80620	20	22	52	47	27	50
AT1G80630	11	5	20	8	10	11
AT1G80640	13	24	62	36	16	23
AT1G80650	49	39	95	67	49	93
AT1G80660	0	3	3	4	0	3
AT1G80670	54	48	92	65	46	106
AT1G80680	33	18	51	29	30	52
AT1G80690	0	8	11	10	3	8
AT1G80700	2	6	7	5	2	5
AT1G80710	0	0	7	11	8	6
AT1G80720	1	2	6	0	3	3
AT1G80730	0	5	0	0	0	0
AT1G80740	0	1	0	0	0	0
AT1G80750	35	46	59	42	19	68
AT1G80760	4	4	8	8	5	10
AT1G80770	75	77	126	66	40	109
AT1G80780	229	180	411	246	186	377
AT1G80790	126	142	168	77	41	156
AT1G80800	4	3	0	3	0	0
AT1G80810	51	55	55	46	25	108
AT1G80820	14	8	17	36	35	81
AT1G80830	11	18	13	12	1	26
AT1G80840	48	24	37	71	109	304
AT1G80850	2	5	5	6	0	5
AT1G80860	19	16	36	23	16	32
AT1G80865	0	22	0	1	12	0
AT1G80870	51	56	61	33	18	71
AT1G80880	5	4	3	0	0	4
AT1G80890	177	307	329	323	100	494
AT1G80900	11	3	17	4	8	7
AT1G80910	16	21	38	30	15	35
AT1G80920	1999	1866	2270	1312	884	3179
AT1G80930	276	374	426	414	174	731
AT1G80940	48	68	78	48	19	79
AT1G80950	49	53	102	88	51	117
AT1G80960	3	7	11	18	6	18
AT1G80970	4	5	5	1	0	4
AT1G80980	17	19	32	10	5	13
AT2G01008	6	12	36	36	17	20
AT2G01010	0	0	2	3	0	1
AT2G01021	20	10	20	15	18	45
AT2G01023	0	2	1	0	9	1
AT2G01029	0	2	1	3	0	0
AT2G01050	0	1	0	0	0	0
AT2G01060	77	66	127	80	57	135
AT2G01070	92	120	94	59	23	144
AT2G01080	10	7	14	11	9	21
AT2G01090	21	14	39	22	18	30
AT2G01100	68	80	100	94	48	172
AT2G01110	327	276	480	190	139	363
AT2G01120	1	4	5	3	0	1
AT2G01130	23	19	33	20	15	38
AT2G01140	167	138	285	261	190	424
AT2G01150	24	50	74	34	10	35
AT2G01170	86	93	135	106	60	186
AT2G01175	0	0	0	0	0	1
AT2G01180	21	10	23	26	32	72
AT2G01190	137	131	198	232	150	445
AT2G01200	0	1	1	0	1	0
AT2G01210	2	1	1	1	0	1
AT2G01220	62	50	89	48	38	95
AT2G01250	196	245	344	254	122	402
AT2G01260	127	99	251	237	175	322
AT2G01270	52	69	90	68	30	110
AT2G01275	1	2	4	0	2	1
AT2G01280	4	0	5	0	4	0
AT2G01290	65	78	139	55	29	71
AT2G01300	7	8	6	9	5	20
AT2G01320	65	68	134	69	40	92
AT2G01330	1	7	15	20	7	15
AT2G01340	4	8	8	26	9	36
AT2G01350	138	169	226	159	77	266
AT2G01370	0	6	0	3	16	0
AT2G01372	0	0	0	0	2	0
AT2G01390	3	0	11	1	0	6
AT2G01400	6	3	7	3	4	8
AT2G01410	22	31	48	40	17	53
AT2G01420	99	120	176	86	44	135
AT2G01440	17	24	50	23	11	22
AT2G01450	141	118	214	294	214	539
AT2G01460	7	12	22	33	15	35
AT2G01470	50	47	83	75	48	122
AT2G01480	26	29	46	36	20	55
AT2G01490	133	84	226	153	135	247
AT2G01500	0	0	0	0	1	1
AT2G01505	0	0	5	0	2	0
AT2G01510	4	5	2	0	0	5
AT2G01520	0	2	2	0	0	0
AT2G01530	3	1	0	0	2	1
AT2G01540	57	41	102	89	71	136
AT2G01570	83	83	137	55	34	90
AT2G01580	0	2	0	0	0	0
AT2G01590	109	108	213	44	27	60
AT2G01600	226	211	367	320	210	547
AT2G01610	8	9	14	12	6	18
AT2G01620	24	22	56	20	14	21
AT2G01630	54	36	72	22	21	48
AT2G01640	7	1	15	12	13	14
AT2G01650	90	57	125	91	85	189
AT2G01660	14	17	21	20	10	37
AT2G01670	157	142	360	388	254	451
AT2G01680	63	61	88	66	42	129
AT2G01690	131	135	226	166	99	265
AT2G01700	0	3	0	0	0	0
AT2G01710	32	46	58	50	21	76
AT2G01720	82	84	167	140	84	190
AT2G01730	4	1	6	1	4	4
AT2G01735	29	31	57	29	17	41
AT2G01740	6	5	4	0	1	6
AT2G01750	0	2	7	20	12	16
AT2G01755	21	42	33	12	0	20
AT2G01760	10	7	20	5	5	5
AT2G01800	0	0	0	4	0	0
AT2G01810	0	8	0	3	1	0
AT2G01818	0	3	2	0	21	1
AT2G01820	104	111	159	93	53	168
AT2G01830	8	12	16	17	7	23
AT2G01840	0	1	1	3	2	0
AT2G01850	224	162	258	100	91	254
AT2G01860	5	10	10	8	0	10
AT2G01870	63	33	76	24	29	60
AT2G01890	5	5	10	5	3	5
AT2G01900	0	6	0	2	5	0
AT2G01905	0	1	1	1	2	0
AT2G01910	45	62	86	39	17	57
AT2G01913	1	2	5	6	4	7
AT2G01918	11	5	25	5	6	4
AT2G01920	0	0	0	0	0	2
AT2G01930	26	17	26	11	12	32
AT2G01940	1	12	14	21	6	20
AT2G01950	32	25	40	15	14	35
AT2G01960	0	0	0	1	0	1
AT2G01970	152	145	283	205	132	304
AT2G01980	25	21	31	35	25	73
AT2G01990	4	1	4	2	0	5
AT2G02000	0	0	0	0	6	0
AT2G02010	25	18	51	92	72	120
AT2G02020	11	1	11	1	6	7
AT2G02040	56	67	121	92	48	118
AT2G02050	88	100	127	100	53	188
AT2G02060	14	10	19	23	20	46
AT2G02061	0	1	1	4	3	6
AT2G02070	167	219	314	146	67	219
AT2G02080	103	77	228	90	68	107
AT2G02090	44	43	51	34	22	80
AT2G02100	222	197	453	183	124	243
AT2G02110	0	4	0	0	0	0
AT2G02120	0	2	0	0	0	2
AT2G02130	91	93	166	89	53	134
AT2G02147	0	68	0	3	36	0
AT2G02150	18	23	38	30	15	40
AT2G02160	538	692	769	592	263	1117
AT2G02170	6	6	20	11	7	8
AT2G02180	56	44	97	77	58	121
AT2G02200	0	34	0	0	13	1
AT2G02210	0	15	0	0	6	2
AT2G02220	30	30	35	96	59	215
AT2G02230	104	115	115	164	87	379
AT2G02240	0	3	1	1	1	7
AT2G02250	0	0	0	0	3	3
AT2G02280	0	3	0	0	4	0
AT2G02290	0	0	0	0	0	2
AT2G02300	0	3	0	0	1	2
AT2G02310	4	7	1	12	1	27
AT2G02320	0	0	1	0	0	0
AT2G02340	0	2	1	1	1	4
AT2G02350	8	6	15	12	9	15
AT2G02360	107	149	167	188	77	327
AT2G02370	8	16	20	25	8	32
AT2G02380	0	0	1	0	1	1
AT2G02390	115	106	224	193	127	272
AT2G02400	15	13	14	6	5	19
AT2G02410	29	40	43	29	12	51
AT2G02440	0	2	0	0	3	0
AT2G02450	44	45	79	51	30	79
AT2G02470	24	48	67	43	14	47
AT2G02480	0	8	14	30	11	22
AT2G02490	0	11	10	11	1	1
AT2G02498	0	2	0	0	0	0
AT2G02500	17	15	40	15	11	16
AT2G02510	76	63	103	65	49	132
AT2G02515	0	0	0	0	3	0
AT2G02520	0	0	0	0	6	0
AT2G02540	0	3	1	4	1	6
AT2G02550	0	7	0	0	3	0
AT2G02560	74	62	118	72	53	125
AT2G02570	62	88	97	71	28	122
AT2G02580	1	1	0	5	0	0
AT2G02590	29	20	42	22	19	41
AT2G02610	0	0	0	0	1	0
AT2G02620	0	4	1	0	0	0
AT2G02630	3	0	0	0	0	0
AT2G02650	0	1	0	0	2	0
AT2G02690	0	6	1	3	0	1
AT2G02700	0	5	0	0	0	2
AT2G02710	128	97	170	123	102	262
AT2G02720	0	0	1	0	0	0
AT2G02730	12	20	28	37	14	46
AT2G02740	23	10	39	21	23	33
AT2G02750	1	1	0	12	0	0
AT2G02760	192	191	335	242	150	383
AT2G02770	4	5	9	1	0	1
AT2G02780	3	4	12	5	3	0
AT2G02790	1	7	13	21	7	16
AT2G02800	25	29	62	83	45	92
AT2G02810	45	34	111	160	116	169
AT2G02820	0	5	7	8	0	4
AT2G02835	0	2	0	0	0	0
AT2G02840	0	2	0	0	4	0
AT2G02850	2	0	3	4	5	8
AT2G02860	29	49	55	82	29	126
AT2G02870	37	50	71	77	35	112
AT2G02880	21	20	24	19	13	42
AT2G02890	0	0	0	0	3	0
AT2G02910	0	8	11	17	4	14
AT2G02930	1	3	0	3	0	1
AT2G02950	47	50	120	24	14	23
AT2G02955	4	11	9	10	1	14
AT2G02960	32	29	42	42	29	86
AT2G02970	48	38	81	61	47	100
AT2G02980	5	3	6	0	1	0
AT2G02990	1333	1143	3069	1407	958	1620
AT2G03010	0	6	11	10	3	6
AT2G03020	0	2	1	0	0	0
AT2G03030	0	2	0	0	3	0
AT2G03040	0	0	0	4	0	2
AT2G03050	8	14	29	16	7	12
AT2G03060	14	21	29	20	8	27
AT2G03070	38	40	80	58	34	76
AT2G03090	8	7	8	0	3	8
AT2G03100	0	2	0	0	0	0
AT2G03110	0	2	0	1	0	0
AT2G03120	152	160	264	277	162	442
AT2G03130	0	10	0	2	0	0
AT2G03140	28	41	78	64	30	67
AT2G03150	122	162	174	127	54	238
AT2G03200	0	3	1	6	2	6
AT2G03220	10	14	32	24	13	21
AT2G03230	0	1	0	1	2	0
AT2G03240	34	19	46	27	29	58
AT2G03250	0	0	0	0	0	1
AT2G03260	16	14	16	4	4	14
AT2G03270	6	12	13	15	5	22
AT2G03280	4	5	9	5	3	5
AT2G03290	0	4	0	0	2	0
AT2G03291	0	2	2	0	7	0
AT2G03310	226	208	337	162	109	303
AT2G03330	11	18	28	22	8	24
AT2G03340	58	57	134	79	50	93
AT2G03350	79	60	111	41	34	83
AT2G03380	0	1	3	3	1	2
AT2G03390	88	107	150	72	35	115
AT2G03410	7	6	10	5	4	9
AT2G03420	0	8	11	4	0	2
AT2G03430	32	25	51	38	31	68
AT2G03440	240	302	385	225	106	386
AT2G03450	15	15	23	26	16	44
AT2G03470	23	27	59	66	37	72
AT2G03480	29	27	45	22	15	39
AT2G03500	12	15	15	6	2	12
AT2G03505	1	4	3	7	3	11
AT2G03510	49	56	90	104	56	157
AT2G03530	49	29	78	38	37	67
AT2G03540	0	0	1	3	3	1
AT2G03550	316	335	863	338	198	331
AT2G03560	0	0	0	0	2	0
AT2G03570	0	5	0	0	3	0
AT2G03590	1	2	1	4	2	8
AT2G03610	0	3	0	0	0	0
AT2G03620	11	13	21	25	14	36
AT2G03630	0	0	0	1	0	0
AT2G03640	84	94	111	85	45	171
AT2G03667	5	10	9	8	2	12
AT2G03670	1	5	10	12	7	13
AT2G03680	163	159	234	183	116	354
AT2G03690	11	12	20	18	10	27
AT2G03710	39	46	50	19	9	40
AT2G03720	0	1	1	1	3	5
AT2G03730	41	40	40	32	21	85
AT2G03740	0	5	0	0	0	0
AT2G03750	47	53	94	22	12	30
AT2G03760	187	142	204	174	151	459
AT2G03770	0	4	1	0	12	0
AT2G03780	24	19	35	16	13	29
AT2G03800	32	30	53	42	27	69
AT2G03810	24	13	37	32	32	55
AT2G03820	48	53	108	86	49	103
AT2G03821	0	0	0	0	0	2
AT2G03830	0	0	2	0	7	0
AT2G03840	0	4	0	0	11	0
AT2G03850	0	0	2	0	0	0
AT2G03870	23	36	39	24	8	38
AT2G03880	0	3	1	0	0	0
AT2G03890	77	79	139	77	47	118
AT2G03910	0	15	0	10	19	0
AT2G03915	0	5	0	0	0	0
AT2G03920	0	5	0	0	1	0
AT2G03932	0	11	1	0	7	0
AT2G03935	0	8	0	0	11	0
AT2G03960	0	3	7	7	4	0
AT2G03970	0	1	0	0	3	0
AT2G03972	0	5	0	0	8	1
AT2G03980	45	45	85	46	29	68
AT2G03990	0	2	0	5	2	0
AT2G04020	0	0	0	0	1	0
AT2G04025	0	3	0	0	0	0
AT2G04030	240	245	381	273	165	476
AT2G04032	4	0	8	2	5	0
AT2G04039	53	63	118	40	21	49
AT2G04040	0	2	4	14	7	16
AT2G04042	2	0	0	0	10	0
AT2G04047	0	3	1	3	1	0
AT2G04050	0	3	6	1	4	5
AT2G04060	0	3	0	0	11	0
AT2G04063	0	8	0	0	6	0
AT2G04070	0	2	0	13	7	25
AT2G04080	41	33	70	26	20	42
AT2G04100	2	3	0	6	1	14
AT2G04110	16	20	34	21	11	27
AT2G04150	0	1	1	1	2	1
AT2G04160	107	100	169	172	113	301
AT2G04170	7	9	20	14	8	15
AT2G04180	0	2	0	6	6	0
AT2G04190	0	4	0	0	7	2
AT2G04200	0	1	0	0	0	0
AT2G04220	0	4	0	0	0	0
AT2G04230	23	28	42	20	10	28
AT2G04235	1	1	3	0	2	3
AT2G04240	38	67	89	56	19	71
AT2G04260	0	16	1	0	18	0
AT2G04270	24	28	40	20	10	32
AT2G04280	54	61	114	50	27	64
AT2G04290	0	1	0	0	2	0
AT2G04300	0	0	0	0	1	0
AT2G04305	34	19	41	24	27	59
AT2G04340	18	18	43	26	16	29
AT2G04350	81	127	156	120	44	178
AT2G04360	144	126	303	207	142	268
AT2G04378	40	35	53	16	12	34
AT2G04390	27	22	30	29	22	70
AT2G04400	113	129	219	302	163	433
AT2G04410	144	162	267	127	69	189
AT2G04420	0	2	5	1	3	0
AT2G04425	0	5	0	0	0	0
AT2G04430	5	11	17	17	7	19
AT2G04450	39	42	96	47	27	51
AT2G04460	0	0	0	0	2	7
AT2G04470	0	7	0	1	14	0
AT2G04480	0	4	1	0	8	0
AT2G04495	23	23	44	55	35	79
AT2G04500	0	0	0	0	2	0
AT2G04510	0	1	4	6	6	4
AT2G04515	1	3	3	11	4	14
AT2G04520	146	184	384	241	124	257
AT2G04530	6	10	28	33	17	24
AT2G04540	26	15	46	24	22	36
AT2G04550	43	45	79	68	40	101
AT2G04560	7	10	23	7	4	4
AT2G04570	129	190	319	138	60	162
AT2G04580	0	4	0	0	3	0
AT2G04610	0	3	0	0	0	0
AT2G04620	14	34	73	97	38	68
AT2G04622	0	0	0	0	1	0
AT2G04625	0	0	1	0	5	0
AT2G04630	57	69	129	80	42	99
AT2G04650	5	6	12	17	10	20
AT2G04660	3	4	18	9	5	3
AT2G04670	0	0	2	0	0	0
AT2G04675	0	1	0	0	0	0
AT2G04680	0	0	0	1	0	0
AT2G04690	74	61	157	82	58	102
AT2G04700	212	227	345	144	82	243
AT2G04730	0	1	0	0	0	0
AT2G04740	34	40	60	41	22	63
AT2G04760	0	4	0	0	0	0
AT2G04780	56	47	92	49	35	81
AT2G04790	8	20	24	8	1	8
AT2G04795	4	6	7	7	3	11
AT2G04830	0	4	0	0	6	0
AT2G04840	3	6	6	4	0	4
AT2G04842	176	212	286	104	51	176
AT2G04845	8	9	19	18	11	22
AT2G04850	36	31	81	37	26	43
AT2G04860	0	0	5	3	0	1
AT2G04865	32	41	63	53	26	74
AT2G04870	0	1	0	0	3	1
AT2G04880	76	61	114	82	63	152
AT2G04890	8	10	17	9	4	9
AT2G04900	93	64	124	88	79	189
AT2G04930	0	0	0	0	0	1
AT2G04940	18	12	27	10	10	19
AT2G04950	0	0	0	0	3	0
AT2G04970	0	5	0	0	9	0
AT2G04980	0	0	0	0	1	0
AT2G04990	0	6	1	6	1	1
AT2G05010	0	4	0	0	0	0
AT2G05020	0	1	0	0	0	0
AT2G05025	0	2	1	7	3	0
AT2G05030	0	2	0	1	1	0
AT2G05040	0	0	0	0	2	1
AT2G05050	0	2	0	0	1	0
AT2G05070	1140	985	1518	429	311	905
AT2G05080	0	6	0	0	6	0
AT2G05100	2028	1321	2306	616	621	1632
AT2G05110	0	4	0	0	4	0
AT2G05120	10	7	26	26	20	26
AT2G05130	0	2	0	0	15	1
AT2G05133	0	4	0	0	0	0
AT2G05150	0	1	0	0	3	0
AT2G05160	18	20	30	24	13	37
AT2G05170	25	44	96	97	42	77
AT2G05171	0	2	0	0	18	0
AT2G05180	0	7	0	1	9	0
AT2G05200	0	0	0	0	2	0
AT2G05210	14	8	19	7	8	14
AT2G05220	46	51	64	69	38	132
AT2G05250	0	0	0	1	0	0
AT2G05260	23	14	27	25	25	61
AT2G05280	0	0	0	0	5	0
AT2G05290	0	0	0	0	2	0
AT2G05294	0	0	0	0	1	0
AT2G05300	0	0	1	0	3	0
AT2G05310	259	305	690	166	90	170
AT2G05320	74	94	113	82	37	144
AT2G05330	0	0	0	0	3	0
AT2G05335	0	0	0	0	1	0
AT2G05340	0	1	0	0	0	0
AT2G05350	0	11	0	0	2	0
AT2G05360	0	9	0	0	30	0
AT2G05380	2384	2862	2866	1672	793	3658
AT2G05390	0	0	0	1	0	0
AT2G05400	0	0	0	0	3	0
AT2G05410	0	1	0	0	2	0
AT2G05420	0	4	0	0	13	0
AT2G05430	0	0	0	5	2	0
AT2G05435	0	5	0	0	1	0
AT2G05440	60	59	69	32	20	75
AT2G05441	0	0	0	0	2	0
AT2G05450	0	3	1	5	1	1
AT2G05510	8	16	17	15	5	20
AT2G05518	0	5	4	1	0	3
AT2G05520	17036	20144	26103	18805	9492	33704
AT2G05530	3	6	1	6	2	1
AT2G05540	539	487	710	320	221	675
AT2G05550	0	0	0	1	0	0
AT2G05560	0	0	0	0	4	0
AT2G05580	1	15	18	31	6	26
AT2G05590	27	13	27	11	16	36
AT2G05620	126	152	221	85	43	134
AT2G05630	133	115	318	186	126	207
AT2G05632	0	2	1	4	1	0
AT2G05635	0	2	0	0	0	0
AT2G05640	0	0	0	0	2	0
AT2G05645	0	0	0	0	1	0
AT2G05660	0	0	1	0	7	0
AT2G05680	0	8	0	0	5	1
AT2G05700	0	7	0	1	0	0
AT2G05710	278	251	480	416	281	667
AT2G05715	0	0	0	0	0	1
AT2G05750	0	0	0	0	4	0
AT2G05755	22	18	43	38	28	54
AT2G05760	12	4	21	8	10	11
AT2G05765	6	0	0	4	0	0
AT2G05780	0	6	0	0	14	1
AT2G05790	144	148	215	72	43	133
AT2G05800	0	0	0	0	2	0
AT2G05810	108	85	146	64	51	133
AT2G05820	0	18	0	0	24	0
AT2G05830	75	49	94	24	25	58
AT2G05840	216	192	350	234	161	400
AT2G05845	0	16	0	0	8	0
AT2G05860	0	2	0	0	0	0
AT2G05870	0	3	0	0	0	0
AT2G05880	0	0	0	0	2	0
AT2G05890	0	0	0	0	3	0
AT2G05900	0	8	0	0	0	0
AT2G05910	9	8	5	5	4	18
AT2G05915	0	0	0	4	0	0
AT2G05920	119	160	237	77	35	108
AT2G05930	0	2	0	0	0	0
AT2G05935	0	3	0	4	2	1
AT2G05940	49	84	128	247	95	288
AT2G05960	0	12	0	0	0	0
AT2G05980	0	3	0	0	3	0
AT2G05985	0	2	0	0	8	0
AT2G05990	54	80	122	55	23	69
AT2G05995	0	2	3	0	0	3
AT2G06000	16	9	23	8	10	16
AT2G06002	0	4	0	5	1	1
AT2G06005	5	3	9	9	9	14
AT2G06010	21	21	27	10	7	22
AT2G06020	0	3	0	0	4	0
AT2G06025	96	90	143	88	58	162
AT2G06040	9	18	25	17	6	19
AT2G06045	0	2	0	6	2	7
AT2G06050	209	211	385	667	406	1005
AT2G06060	0	0	0	0	10	0
AT2G06070	0	1	1	3	2	0
AT2G06080	0	16	2	0	10	1
AT2G06120	0	3	0	6	1	7
AT2G06140	0	0	1	0	0	0
AT2G06150	0	2	0	0	0	0
AT2G06165	0	11	0	5	17	0
AT2G06166	0	0	0	1	0	0
AT2G06170	0	6	0	3	0	0
AT2G06180	0	4	0	0	2	0
AT2G06200	3	5	0	4	2	1
AT2G06210	113	132	168	95	48	173
AT2G06220	0	6	0	9	1	10
AT2G06230	0	0	1	0	2	0
AT2G06235	0	0	0	0	2	0
AT2G06240	0	4	7	8	2	0
AT2G06250	0	0	0	3	0	0
AT2G06255	3	5	7	5	2	1
AT2G06260	0	0	0	0	7	0
AT2G06280	0	1	0	0	0	0
AT2G06290	0	2	1	5	3	1
AT2G06296	0	1	0	0	4	0
AT2G06330	0	0	0	0	3	0
AT2G06335	0	4	0	0	0	1
AT2G06340	0	1	0	1	0	1
AT2G06350	0	0	0	8	0	1
AT2G06400	0	8	0	0	0	0
AT2G06420	0	2	0	4	2	1
AT2G06430	0	0	0	0	1	0
AT2G06440	0	4	7	6	2	0
AT2G06490	0	5	0	0	2	0
AT2G06500	0	2	0	0	1	0
AT2G06510	19	22	38	31	17	43
AT2G06520	5484	4580	8845	3505	2550	6058
AT2G06530	165	165	287	217	133	345
AT2G06540	0	0	0	0	5	0
AT2G06541	0	0	0	2	0	0
AT2G06550	0	0	1	0	0	1
